Tanggal,Tahun,Bulan,Nama_Bulan,Komoditas,Negara_Tujuan,Nilai_Ekspor_USD,Volume_Ton
2020-01-31,2020,1,January,Kakao,Tiongkok,174051.54,35.87
2020-01-31,2020,1,January,Kakao,Malaysia,180843.23,73.27
2020-01-31,2020,1,January,Kakao,Jepang,73304.68,15.94
2020-01-31,2020,1,January,Kakao,Amerika Serikat,222687.48,108.01
2020-01-31,2020,1,January,Kakao,Singapura,152611.15,57.87
2020-01-31,2020,1,January,Kakao,Vietnam,78278.23,26.87
2020-01-31,2020,1,January,Kakao,Thailand,119927.67,41.73
2020-01-31,2020,1,January,Kakao,Korea Selatan,67132.81,23.34
2020-01-31,2020,1,January,Besi dan Baja,Tiongkok,207911.27,47.74
2020-01-31,2020,1,January,Besi dan Baja,Malaysia,205569.86,54.42
2020-01-31,2020,1,January,Besi dan Baja,Jepang,181674.28,72.33
2020-01-31,2020,1,January,Besi dan Baja,Amerika Serikat,325294.02,66.43
2020-01-31,2020,1,January,Besi dan Baja,Singapura,141495.95,61.71
2020-01-31,2020,1,January,Besi dan Baja,Vietnam,154527.23,65.31
2020-01-31,2020,1,January,Besi dan Baja,Thailand,77562.93,16.41
2020-01-31,2020,1,January,Besi dan Baja,Korea Selatan,194175.06,66.16
2020-01-31,2020,1,January,Kelapa,Tiongkok,121639.63,88.81
2020-01-31,2020,1,January,Kelapa,Malaysia,146349.67,50.83
2020-01-31,2020,1,January,Kelapa,Jepang,72030.94,25.33
2020-01-31,2020,1,January,Kelapa,Amerika Serikat,48797.11,44.75
2020-01-31,2020,1,January,Kelapa,Singapura,64729.9,41.96
2020-01-31,2020,1,January,Kelapa,Vietnam,55911.58,35.8
2020-01-31,2020,1,January,Kelapa,Thailand,33080.53,12.7
2020-01-31,2020,1,January,Kelapa,Korea Selatan,87141.33,34.25
2020-01-31,2020,1,January,Jagung,Tiongkok,16689.57,6.34
2020-01-31,2020,1,January,Jagung,Malaysia,57804.07,22.73
2020-01-31,2020,1,January,Jagung,Jepang,38374.68,31.15
2020-01-31,2020,1,January,Jagung,Amerika Serikat,40774.17,24.54
2020-01-31,2020,1,January,Jagung,Singapura,27895.61,16.9
2020-01-31,2020,1,January,Jagung,Vietnam,41412.44,14.93
2020-01-31,2020,1,January,Jagung,Thailand,17646.62,7.27
2020-01-31,2020,1,January,Jagung,Korea Selatan,37969.39,14.94
2020-01-31,2020,1,January,Produk Perikanan,Tiongkok,80925.17,43.62
2020-01-31,2020,1,January,Produk Perikanan,Malaysia,59402.12,55.89
2020-01-31,2020,1,January,Produk Perikanan,Jepang,72579.72,35.98
2020-01-31,2020,1,January,Produk Perikanan,Amerika Serikat,62761.04,34.47
2020-01-31,2020,1,January,Produk Perikanan,Singapura,42145.96,36.52
2020-01-31,2020,1,January,Produk Perikanan,Vietnam,46373.85,16.22
2020-01-31,2020,1,January,Produk Perikanan,Thailand,83368.04,30.39
2020-01-31,2020,1,January,Produk Perikanan,Korea Selatan,43737.53,15.7
2020-01-31,2020,1,January,Kerajinan Rotan,Tiongkok,70057.49,25.09
2020-01-31,2020,1,January,Kerajinan Rotan,Malaysia,22575.88,15.51
2020-01-31,2020,1,January,Kerajinan Rotan,Jepang,49034.57,18.02
2020-01-31,2020,1,January,Kerajinan Rotan,Amerika Serikat,37904.57,20.66
2020-01-31,2020,1,January,Kerajinan Rotan,Singapura,18826.7,11.24
2020-01-31,2020,1,January,Kerajinan Rotan,Vietnam,28284.55,13.88
2020-01-31,2020,1,January,Kerajinan Rotan,Thailand,33394.46,11.34
2020-01-31,2020,1,January,Kerajinan Rotan,Korea Selatan,20789.92,10.42
2020-01-31,2020,1,January,Minyak Kelapa,Tiongkok,37956.67,35.35
2020-01-31,2020,1,January,Minyak Kelapa,Malaysia,48034.71,43.55
2020-01-31,2020,1,January,Minyak Kelapa,Jepang,57050.73,38.57
2020-01-31,2020,1,January,Minyak Kelapa,Amerika Serikat,37098.99,12.49
2020-01-31,2020,1,January,Minyak Kelapa,Singapura,39030.46,15.47
2020-01-31,2020,1,January,Minyak Kelapa,Vietnam,48866.99,28.16
2020-01-31,2020,1,January,Minyak Kelapa,Thailand,34846.37,16.82
2020-01-31,2020,1,January,Minyak Kelapa,Korea Selatan,45274.16,27.58
2020-01-31,2020,1,January,Produk Olahan,Tiongkok,19340.73,8.86
2020-01-31,2020,1,January,Produk Olahan,Malaysia,14466.96,7.15
2020-01-31,2020,1,January,Produk Olahan,Jepang,54583.38,40.47
2020-01-31,2020,1,January,Produk Olahan,Amerika Serikat,30099.82,10.48
2020-01-31,2020,1,January,Produk Olahan,Singapura,31649.07,25.79
2020-01-31,2020,1,January,Produk Olahan,Vietnam,57314.11,37.81
2020-01-31,2020,1,January,Produk Olahan,Thailand,51464.33,24.39
2020-01-31,2020,1,January,Produk Olahan,Korea Selatan,25602.83,21.58
2020-02-29,2020,2,February,Kakao,Tiongkok,259720.31,66.61
2020-02-29,2020,2,February,Kakao,Malaysia,177966.19,42.6
2020-02-29,2020,2,February,Kakao,Jepang,232155.91,53.5
2020-02-29,2020,2,February,Kakao,Amerika Serikat,87124.97,35.06
2020-02-29,2020,2,February,Kakao,Singapura,118493.04,58.44
2020-02-29,2020,2,February,Kakao,Vietnam,129238.16,64.13
2020-02-29,2020,2,February,Kakao,Thailand,140352.47,34.44
2020-02-29,2020,2,February,Kakao,Korea Selatan,74849.76,18.09
2020-02-29,2020,2,February,Besi dan Baja,Tiongkok,215125.73,50.74
2020-02-29,2020,2,February,Besi dan Baja,Malaysia,345747.73,87.03
2020-02-29,2020,2,February,Besi dan Baja,Jepang,104298.66,33.61
2020-02-29,2020,2,February,Besi dan Baja,Amerika Serikat,139540.46,28.37
2020-02-29,2020,2,February,Besi dan Baja,Singapura,258964.88,66.51
2020-02-29,2020,2,February,Besi dan Baja,Vietnam,164953.13,44.21
2020-02-29,2020,2,February,Besi dan Baja,Thailand,103265.44,24.78
2020-02-29,2020,2,February,Besi dan Baja,Korea Selatan,73267.36,18.61
2020-02-29,2020,2,February,Kelapa,Tiongkok,167602.55,57.64
2020-02-29,2020,2,February,Kelapa,Malaysia,98235.32,95.29
2020-02-29,2020,2,February,Kelapa,Jepang,85313.69,29.08
2020-02-29,2020,2,February,Kelapa,Amerika Serikat,102704.97,64.64
2020-02-29,2020,2,February,Kelapa,Singapura,77736.89,47.58
2020-02-29,2020,2,February,Kelapa,Vietnam,74384.64,25.9
